stid,scid,group,gender,ethnicity,Spe.ed,year,scale,sp,stand
910054,Goodman,T,Male,Hispanic,Yes,1,1371,no,Notapproach
910963,OrangeGrove,C,Female,Hispanic,Yes,0,1314,no,Notapproach
910963,OrangeGrove,C,Female,Hispanic,Yes,1,1503,no,Approaches
910963,OrangeGrove,C,Female,Hispanic,Yes,2,1594,no,Approaches
912402,OrangeGrove,C,Male,Hispanic,No,0,1559,no,Meets
912402,OrangeGrove,C,Male,Hispanic,No,1,1643,no,Meets
912402,OrangeGrove,C,Male,Hispanic,No,2,1688,no,Meets
912833,OrangeGrove,C,Female,Afamerican,Yes,0,1159,no,Notapproach
912833,OrangeGrove,C,Female,Afamerican,Yes,1,1299,no,Notapproach
912833,OrangeGrove,C,Female,Afamerican,Yes,2,1330,no,Notapproach
913078,OrangeGrove,C,Female,Hispanic,No,0,1247,no,Notapproach
913078,Goodman,T,Female,Hispanic,No,2,1385,no,Notapproach
914562,OrangeGrove,C,Female,Hispanic,No,0,1360,no,Approaches
914562,OrangeGrove,C,Female,Hispanic,No,1,1474,no,Approaches
914562,OrangeGrove,C,Female,Hispanic,No,2,1647,no,Meets
914575,Goodman,T,Male,Hispanic,Yes,0,1208,no,Notapproach
914575,Goodman,T,Male,Hispanic,Yes,1,1387,no,Notapproach
914575,Goodman,T,Male,Hispanic,Yes,2,1625,no,Meets
914905,OrangeGrove,C,Male,Hispanic,Yes,0,1247,no,Notapproach
914905,OrangeGrove,C,Male,Hispanic,Yes,1,1355,no,Notapproach
915194,Goodman,T,Female,Afamerican,No,0,1454,no,Approaches
915194,Goodman,T,Female,Afamerican,No,1,1621,no,Meets
915396,OrangeGrove,C,Female,Hispanic,No,0,1390,no,Approaches
915396,OrangeGrove,C,Female,Hispanic,No,1,1533,no,Approaches
915396,OrangeGrove,C,Female,Hispanic,No,2,1578,no,Approaches
915453,OrangeGrove,C,Male,Hispanic,No,0,1298,no,Notapproach
915453,OrangeGrove,C,Male,Hispanic,No,1,1474,no,Approaches
915453,OrangeGrove,C,Male,Hispanic,No,2,1625,no,Meets
915671,OrangeGrove,C,Male,Hispanic,No,0,1454,no,Approaches
915671,OrangeGrove,C,Male,Hispanic,No,1,1518,no,Approaches
915697,OrangeGrove,C,Male,Hispanic,No,0,1314,no,Notapproach
915697,OrangeGrove,C,Male,Hispanic,No,1,1670,no,Masters
915697,OrangeGrove,C,Male,Hispanic,No,2,1578,no,Approaches
915734,OrangeGrove,C,Male,Hispanic,No,0,1360,no,Approaches
915734,OrangeGrove,C,Male,Hispanic,No,1,1488,no,Approaches
915734,OrangeGrove,C,Male,Hispanic,No,2,1594,no,Approaches
915878,OrangeGrove,C,Female,Hispanic,No,0,1208,no,Notapproach
915878,OrangeGrove,C,Female,Hispanic,No,1,1417,no,Notapproach
915878,OrangeGrove,C,Female,Hispanic,No,2,1500,no,Approaches
915959,OrangeGrove,C,Female,Hispanic,No,1,1533,no,Approaches
916000,OrangeGrove,C,Female,Hispanic,No,0,1375,no,Approaches
916000,OrangeGrove,C,Female,Hispanic,No,1,1621,no,Meets
916000,OrangeGrove,C,Female,Hispanic,No,2,1688,no,Meets
916134,OrangeGrove,C,Female,Hispanic,No,0,1247,no,Notapproach
916134,OrangeGrove,C,Female,Hispanic,No,1,1589,no,Meets
916415,Goodman,T,Female,Hispanic,Yes,0,1314,no,Notapproach
916415,Goodman,T,Female,Hispanic,Yes,1,1643,no,Meets
916415,Goodman,T,Female,Hispanic,Yes,2,1724,no,Masters
916714,OrangeGrove,C,Male,Hispanic,No,1,1601,no,Meets
916714,OrangeGrove,C,Male,Hispanic,No,2,1647,no,Meets
917326,OrangeGrove,C,Female,Afamerican,No,0,1421,no,Approaches
917326,OrangeGrove,C,Female,Afamerican,No,1,1402,no,Notapproach
917327,OrangeGrove,C,Female,Hispanic,No,0,1247,no,Notapproach
917327,OrangeGrove,C,Female,Hispanic,No,1,1371,no,Notapproach
917511,OrangeGrove,C,Female,Afamerican,No,1,1277,no,Notapproach
917655,Goodman,T,Female,Hispanic,No,0,1185,no,Notapproach
917655,Goodman,T,Female,Hispanic,No,1,1417,no,Notapproach
