stid,scid,group,gender,ethnicity,LEPat5,spe.ed,year,spanish,scale,stand
930693,bus,C,Male,Hispanic,firstyear,No,1,No,1526,Approaches
930693,bus,C,Male,Hispanic,firstyear,No,2,No,1517,Approaches
930694,caro,T,Male,Hispanic,NotLEP,No,0,No,1496,Meets
930694,caro,T,Male,Hispanic,NotLEP,No,1,No,1510,Approaches
930694,caro,T,Male,Hispanic,NotLEP,No,2,No,1564,Approaches
930697,caro,T,Male,Hispanic,NotLEP,No,0,No,1327,Notapproach
930697,caro,T,Male,Hispanic,NotLEP,No,1,No,1510,Approaches
930698,bla,T,Female,Hispanic,NotLEP,No,0,No,1403,Approaches
930698,bla,T,Female,Hispanic,NotLEP,No,1,No,1550,Meets
930698,bla,T,Female,Hispanic,NotLEP,No,2,No,1619,Meets
930706,bus,C,Male,Hispanic,secondyear,No,0,No,1419,Approaches
930706,bus,C,Male,Hispanic,secondyear,No,1,No,1562,Meets
930706,bus,C,Male,Hispanic,secondyear,No,2,No,1736,Masters
930708,bus,C,Female,Hispanic,secondyear,No,0,No,1455,Approaches
930708,bus,C,Female,Hispanic,secondyear,No,1,No,1465,Approaches
930708,bus,C,Female,Hispanic,secondyear,No,2,No,1667,Masters
930710,caro,T,Male,Hispanic,LEP,No,0,No,1251,Notapproach
930710,caro,T,Male,Hispanic,LEP,No,1,No,1295,Notapproach
930710,caro,T,Male,Hispanic,LEP,No,2,No,1437,Notapproach
930715,har,C,Male,Hispanic,NotLEP,No,0,No,1616,Masters
930722,carm,T,Male,Hispanic,LEP,No,0,No,1234,Notapproach
930725,bla,T,Male,Hispanic,LEP,No,0,Yes,1350,Approaches
930725,bla,T,Male,Hispanic,LEP,No,1,Yes,1455,Approaches
930725,bla,T,Male,Hispanic,LEP,No,2,No,1547,Approaches
930731,carm,T,Female,Afamerican,NotLEP,No,2,No,1463,Notapproach
930732,bus,C,Female,Hispanic,NotLEP,No,0,No,1496,Meets
930732,bus,C,Female,Hispanic,NotLEP,No,1,No,1480,Approaches
930732,bus,C,Female,Hispanic,NotLEP,No,2,No,1547,Approaches
930753,jon,C,Female,Hispanic,firstyear,No,0,No,1327,Notapproach
930753,jon,C,Female,Hispanic,firstyear,No,1,No,1451,Approaches
930755,carm,T,Male,Hispanic,NotLEP,No,0,No,1437,Approaches
930755,carm,T,Male,Hispanic,NotLEP,No,1,No,1604,Meets
930755,carm,T,Male,Hispanic,NotLEP,No,2,No,1619,Meets
930766,caro,T,Female,Hispanic,secondyear,No,0,No,1468,Meets
930766,caro,T,Female,Hispanic,secondyear,No,1,No,1604,Meets
930769,bus,C,Male,Hispanic,LEP,No,0,No,1297,Notapproach
930772,jon,C,Male,Hispanic,NotLEP,No,0,No,1577,Masters
930772,jon,C,Male,Hispanic,NotLEP,No,1,No,1747,Masters
930776,caro,T,Male,Hispanic,secondyear,No,0,No,1419,Approaches
930776,caro,T,Male,Hispanic,secondyear,No,1,No,1434,Approaches
930776,caro,T,Male,Hispanic,secondyear,No,2,No,1489,Approaches
930794,jon,C,Female,Hispanic,LEP,No,0,Yes,1318,Approaches
930794,jon,C,Female,Hispanic,LEP,No,1,No,1397,Notapproach
930794,jon,C,Female,Hispanic,LEP,No,2,No,1470,Approaches
930797,jon,C,Female,Hispanic,secondyear,No,0,No,1437,Approaches
930797,jon,C,Female,Hispanic,secondyear,No,1,No,1465,Approaches
930806,caro,T,Female,Hispanic,NotLEP,No,0,No,1667,Masters
930806,caro,T,Female,Hispanic,NotLEP,No,1,No,1604,Meets
930820,jon,C,Male,Hispanic,NotLEP,No,0,No,1519,Meets
930820,jon,C,Male,Hispanic,NotLEP,No,1,No,1604,Meets
930833,jon,C,Male,Hispanic,firstyear,No,0,No,1387,Approaches
930833,jon,C,Male,Hispanic,firstyear,No,1,No,1526,Approaches
930838,caro,T,Male,Hispanic,NotLEP,No,0,No,1234,Notapproach
930838,caro,T,Male,Hispanic,NotLEP,No,1,No,1397,Notapproach
930843,bla,T,Male,Hispanic,LEP,No,0,No,1136,Notapproach
930843,bla,T,Male,Hispanic,LEP,No,1,No,1277,Notapproach
930843,bla,T,Male,Hispanic,LEP,No,2,No,1370,Notapproach
930853,caro,T,Male,Hispanic,NotLEP,Yes,0,No,1387,Approaches
930853,caro,T,Male,Hispanic,NotLEP,Yes,1,No,1510,Approaches
930853,caro,T,Male,Hispanic,NotLEP,Yes,2,No,1547,Approaches
930854,carm,T,Male,Hispanic,NotLEP,No,0,No,1555,Masters
930854,carm,T,Male,Hispanic,NotLEP,No,1,No,1550,Meets
930865,bus,C,Female,Hispanic,LEP,No,0,No,1251,Notapproach
930865,bus,C,Female,Hispanic,LEP,No,1,No,1424,Notapproach
930869,caro,T,Female,Hispanic,NotLEP,No,0,No,1555,Masters
930869,caro,T,Female,Hispanic,NotLEP,No,1,No,1562,Meets
930869,caro,T,Female,Hispanic,NotLEP,No,2,No,1736,Masters
930875,carm,T,Female,Hispanic,NotLEP,No,0,No,1555,Masters
930875,carm,T,Female,Hispanic,NotLEP,No,1,No,1659,Masters
930875,carm,T,Female,Hispanic,NotLEP,No,2,No,1787,Masters
930876,carm,T,Female,Afamerican,NotLEP,No,0,No,1345,Approaches
930876,carm,T,Female,Afamerican,NotLEP,No,1,No,1480,Approaches
930876,carm,T,Female,Afamerican,NotLEP,No,2,No,1564,Approaches
930881,jon,C,Female,Hispanic,secondyear,No,0,No,1455,Approaches
930881,jon,C,Female,Hispanic,secondyear,No,1,No,1465,Approaches
930892,bus,C,Male,Hispanic,LEP,No,0,Yes,1246,Notapproach
930895,bus,C,Male,Hispanic,LEP,No,0,Yes,1264,Notapproach
930906,bus,C,Female,Hispanic,secondyear,No,0,No,1356,Approaches
930906,bus,C,Female,Hispanic,secondyear,No,1,No,1495,Approaches
930908,bus,C,Male,Hispanic,firstyear,No,0,No,1327,Notapproach
930917,bla,T,Female,Hispanic,LEP,No,0,No,1180,Notapproach
930917,bla,T,Female,Hispanic,LEP,No,1,No,1341,Notapproach
930922,bus,C,Female,Hispanic,LEP,No,0,Yes,1171,Notapproach
930925,bla,T,Female,Hispanic,secondyear,No,0,No,1496,Meets
930925,bla,T,Female,Hispanic,secondyear,No,1,No,1604,Meets
930925,bla,T,Female,Hispanic,secondyear,No,2,No,1564,Approaches
930929,bus,C,Female,Hispanic,LEP,No,0,Yes,1424,Approaches
930929,bus,C,Female,Hispanic,LEP,No,1,Yes,1527,Approaches
930932,carm,T,Male,Hispanic,LEP,No,0,No,1234,Notapproach
930932,carm,T,Male,Hispanic,LEP,No,1,No,1326,Notapproach
930932,carm,T,Male,Hispanic,LEP,No,2,No,1503,Approaches
930936,bla,T,Male,Hispanic,firstyear,No,0,Yes,1444,Meets
930936,bla,T,Male,Hispanic,firstyear,No,1,No,1550,Meets
930936,bla,T,Male,Hispanic,firstyear,No,2,No,1564,Approaches
930939,bus,C,Male,Hispanic,LEP,No,0,No,1282,Notapproach
930939,bus,C,Male,Hispanic,LEP,No,1,No,1510,Approaches
930942,jon,C,Male,Hispanic,LEP,No,0,Yes,1298,Notapproach
930942,jon,C,Male,Hispanic,LEP,No,1,No,1311,Notapproach
930942,jon,C,Male,Hispanic,LEP,No,2,No,1503,Approaches
930955,jon,C,Female,Hispanic,NotLEP,No,0,No,1577,Masters
930955,jon,C,Female,Hispanic,NotLEP,No,1,No,1510,Approaches
930955,jon,C,Female,Hispanic,NotLEP,No,2,No,1619,Meets
930967,har,C,Male,Hispanic,LEP,No,0,No,1159,Notapproach
930967,har,C,Male,Hispanic,LEP,No,1,No,1383,Notapproach
930967,har,C,Male,Hispanic,LEP,No,2,No,1397,Notapproach
930976,jon,C,Male,Hispanic,NotLEP,No,2,No,1736,Masters
930978,carm,T,Female,Hispanic,NotLEP,No,0,No,1419,Approaches
930978,carm,T,Female,Hispanic,NotLEP,No,1,No,1465,Approaches
930978,carm,T,Female,Hispanic,NotLEP,No,2,No,1564,Approaches
930979,caro,T,Female,Hispanic,NotLEP,No,0,No,1282,Notapproach
930979,caro,T,Female,Hispanic,NotLEP,No,1,No,1341,Notapproach
930984,jon,C,Female,Hispanic,secondyear,No,0,No,1577,Masters
930984,jon,C,Female,Hispanic,secondyear,No,1,No,1697,Masters
930984,jon,C,Female,Hispanic,secondyear,No,2,No,1667,Masters
930994,caro,T,Male,Hispanic,NotLEP,No,0,No,1217,Notapproach
930994,caro,T,Male,Hispanic,NotLEP,No,1,No,1526,Approaches
930994,caro,T,Male,Hispanic,NotLEP,No,2,No,1532,Approaches
931001,carm,T,Female,Afamerican,NotLEP,No,1,No,1495,Approaches
931001,carm,T,Female,Afamerican,NotLEP,No,2,No,1619,Meets
931006,bus,C,Female,Hispanic,NotLEP,No,0,No,1616,Masters
931006,bus,C,Female,Hispanic,NotLEP,No,1,No,1747,Masters
931006,bus,C,Female,Hispanic,NotLEP,No,2,No,1667,Masters
931011,jon,C,Male,Hispanic,LEP,No,0,Yes,1229,Notapproach
931011,jon,C,Male,Hispanic,LEP,No,1,No,1370,Notapproach
931015,jon,C,Female,Hispanic,LEP,No,0,No,1159,Notapproach
931015,jon,C,Female,Hispanic,LEP,No,1,No,1311,Notapproach
931034,jon,C,Female,Hispanic,LEP,No,0,Yes,1332,Approaches
931034,jon,C,Female,Hispanic,LEP,No,1,No,1550,Meets
931034,jon,C,Female,Hispanic,LEP,No,2,No,1517,Approaches
931050,caro,T,Female,Hispanic,NotLEP,No,0,No,1519,Meets
931050,caro,T,Female,Hispanic,NotLEP,No,1,No,1562,Meets
